epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,521.722,1.03627,0.69059,1.11831,0.82967,0.83912,0.91067,0.56966,1.25579,0.75964,1.15935,0.000195434,0.000195434,0.000195434
62,530.324,1.05344,0.71375,1.12618,0.81384,0.80954,0.88618,0.57052,1.20048,0.78595,1.15282,0.000194058,0.000194058,0.000194058
63,539.082,1.03601,0.70442,1.12494,0.8149,0.81649,0.8893,0.56368,1.24709,0.78217,1.16359,0.000192682,0.000192682,0.000192682
64,547.153,1.00248,0.68395,1.1099,0.81675,0.80724,0.86056,0.56152,1.16363,0.86046,1.15577,0.000191306,0.000191306,0.000191306
65,555.766,1.03389,0.68627,1.12009,0.72023,0.78447,0.81458,0.53388,1.19865,0.92227,1.16042,0.00018993,0.00018993,0.00018993
66,564.606,1.02184,0.7052,1.12296,0.76004,0.78488,0.83487,0.55546,1.14735,0.90126,1.14687,0.000188554,0.000188554,0.000188554
67,572.675,1.00658,0.67324,1.11325,0.70484,0.77418,0.79403,0.52256,1.17148,0.95408,1.15556,0.000187177,0.000187177,0.000187177
68,581.488,1.02914,0.67524,1.11795,0.74197,0.7982,0.83567,0.5419,1.24079,0.90852,1.17108,0.000185801,0.000185801,0.000185801
69,590.359,1.0249,0.66353,1.11629,0.68115,0.77707,0.78135,0.52541,1.17267,0.96998,1.1445,0.000184425,0.000184425,0.000184425
70,598.42,1.00311,0.65662,1.10254,0.73497,0.84499,0.86742,0.56805,1.20117,0.83135,1.15327,0.000183049,0.000183049,0.000183049
71,607.05,1.01123,0.65487,1.11018,0.77539,0.80036,0.85526,0.56768,1.15713,0.88684,1.1455,0.000181673,0.000181673,0.000181673
72,615.823,1.00791,0.68252,1.11517,0.79499,0.80241,0.87396,0.56944,1.19114,0.83765,1.15648,0.000180297,0.000180297,0.000180297
73,624.116,1.00109,0.66041,1.11068,0.72695,0.7868,0.82439,0.54706,1.18968,0.94803,1.15673,0.000178921,0.000178921,0.000178921
74,632.745,0.99293,0.64049,1.09989,0.77844,0.77331,0.85494,0.56499,1.17475,1.0317,1.15243,0.000177545,0.000177545,0.000177545
75,641.346,1.02543,0.65959,1.11765,0.66616,0.81764,0.82167,0.54699,1.1857,0.9265,1.15208,0.000176169,0.000176169,0.000176169
76,649.382,1.00647,0.63695,1.10373,0.81078,0.79062,0.87667,0.56552,1.23699,0.8317,1.16592,0.000174792,0.000174792,0.000174792
